19.0,-1
19.1,-1
19.2,-1
19.3,-1
19.4,396164
19.5,446099
19.6,503771
19.7,562390
19.8,631835
19.9,689197
20.0,734341
20.1,826979
20.2,928908
20.3,1010162
20.4,1041116
20.5,1214338
20.6,1321250
20.7,1484596
20.8,1632613
20.9,1794493
21.0,1997551
21.1,2169806
21.2,2214368
21.3,2432139
21.4,2831439
21.5,3214667
21.6,3531269
21.7,3609799
21.8,3941002
21.9,4314593
22.0,5148779
22.1,5241635
22.2,5851743
22.3,6969324
22.4,7207694
22.5,8197317
22.6,9704617
22.7,11053473
22.8,11746070
22.9,12796085
23.0,14138519
23.1,14815861
23.2,16214689
23.3,19012496
23.4,21213958
23.5,28153452
23.6,31273774
23.7,34992020
23.8,38761344
23.9,43873288
24.0,50083117
24.1,57062264
24.2,-1
24.3,-1
24.4,-1
24.5,-1
24.6,-1
24.7,-1
24.8,-1
24.9,-1
